=== [lol] 영상 인코딩 시작 ===
[lol.mp4] 영상 길이: 205.53초
[lol.mp4] 생성할 세그먼트 수: 103개 (마지막 세그먼트: 1.53초)
[lol.mp4] 기존 세그먼트 파일 102개 삭제됨
[husky.mp4] ✓ segment_38.mp4 생성완료 (76.0s ~ 78.0s, 2.0초)
[husky.mp4] ✓ segment_39.mp4 생성완료 (78.0s ~ 80.0s, 2.0초)
[husky.mp4] ✓ segment_40.mp4 생성완료 (80.0s ~ 82.0s, 2.0초)
[husky.mp4] ✓ segment_41.mp4 생성완료 (82.0s ~ 84.0s, 2.0초)
[husky.mp4] ✓ segment_42.mp4 생성완료 (84.0s ~ 86.0s, 2.0초)
[husky.mp4] ✓ segment_43.mp4 생성완료 (86.0s ~ 88.0s, 2.0초)
[husky.mp4] ✓ segment_44.mp4 생성완료 (88.0s ~ 90.0s, 2.0초)
[husky.mp4] ✓ segment_45.mp4 생성완료 (90.0s ~ 92.0s, 2.0초)
[husky.mp4] ✓ segment_46.mp4 생성완료 (92.0s ~ 94.0s, 2.0초)
[husky.mp4] ✓ segment_47.mp4 생성완료 (94.0s ~ 96.0s, 2.0초)
[husky.mp4] ✓ segment_48.mp4 생성완료 (96.0s ~ 98.0s, 2.0초)
[husky.mp4] ✓ segment_49.mp4 생성완료 (98.0s ~ 100.0s, 2.0초)
[husky.mp4] ✓ segment_50.mp4 생성완료 (100.0s ~ 102.0s, 2.0초)
[husky.mp4] ✓ segment_51.mp4 생성완료 (102.0s ~ 104.0s, 2.0초)
[husky.mp4] ✓ segment_52.mp4 생성완료 (104.0s ~ 106.0s, 2.0초)
[husky.mp4] ✓ segment_53.mp4 생성완료 (106.0s ~ 108.0s, 2.0초)
[husky.mp4] ✓ segment_54.mp4 생성완료 (108.0s ~ 110.0s, 2.0초)
[husky.mp4] ✓ segment_55.mp4 생성완료 (110.0s ~ 112.0s, 2.0초)
[husky.mp4] ✓ segment_56.mp4 생성완료 (112.0s ~ 114.0s, 2.0초)
[husky.mp4] ✓ segment_57.mp4 생성완료 (114.0s ~ 116.0s, 2.0초)
[husky.mp4] ✓ segment_58.mp4 생성완료 (116.0s ~ 118.0s, 2.0초)
[husky.mp4] ✓ segment_59.mp4 생성완료 (118.0s ~ 120.0s, 2.0초)
[husky.mp4] ✓ segment_60.mp4 생성완료 (120.0s ~ 122.0s, 2.0초)
[husky.mp4] ✓ segment_61.mp4 생성완료 (122.0s ~ 124.0s, 2.0초)
[husky.mp4] ✓ segment_62.mp4 생성완료 (124.0s ~ 126.0s, 2.0초)
[husky.mp4] ✓ segment_63.mp4 생성완료 (126.0s ~ 128.0s, 2.0초)
[husky.mp4] ✓ segment_64.mp4 생성완료 (128.0s ~ 130.0s, 2.0초)
[husky.mp4] ✓ segment_65.mp4 생성완료 (130.0s ~ 130.2s, 0.2초)

[husky.mp4] === 분할 완료 ===
[husky.mp4] 성공: 66개 세그먼트

=== [husky] 영상 인코딩 시작 ===
[husky.mp4] 영상 길이: 130.23초
[husky.mp4] 생성할 세그먼트 수: 66개 (마지막 세그먼트: 0.23초)
[husky.mp4] 기존 세그먼트 파일 66개 삭제됨
[husky.mp4] ✓ segment_0.mp4 생성완료 (0.0s ~ 2.0s, 2.0초)
[husky.mp4] ✓ segment_1.mp4 생성완료 (2.0s ~ 4.0s, 2.0초)
[husky.mp4] ✓ segment_2.mp4 생성완료 (4.0s ~ 6.0s, 2.0초)
[husky.mp4] ✓ segment_3.mp4 생성완료 (6.0s ~ 8.0s, 2.0초)
[husky.mp4] ✓ segment_4.mp4 생성완료 (8.0s ~ 10.0s, 2.0초)
[husky.mp4] ✓ segment_5.mp4 생성완료 (10.0s ~ 12.0s, 2.0초)
[husky.mp4] ✓ segment_6.mp4 생성완료 (12.0s ~ 14.0s, 2.0초)
[husky.mp4] ✓ segment_7.mp4 생성완료 (14.0s ~ 16.0s, 2.0초)
[husky.mp4] ✓ segment_8.mp4 생성완료 (16.0s ~ 18.0s, 2.0초)
[husky.mp4] ✓ segment_9.mp4 생성완료 (18.0s ~ 20.0s, 2.0초)
[husky.mp4] ✓ segment_10.mp4 생성완료 (20.0s ~ 22.0s, 2.0초)
[husky.mp4] ✓ segment_11.mp4 생성완료 (22.0s ~ 24.0s, 2.0초)
[husky.mp4] ✓ segment_12.mp4 생성완료 (24.0s ~ 26.0s, 2.0초)
[husky.mp4] ✓ segment_13.mp4 생성완료 (26.0s ~ 28.0s, 2.0초)
[husky.mp4] ✓ segment_14.mp4 생성완료 (28.0s ~ 30.0s, 2.0초)
[husky.mp4] ✓ segment_15.mp4 생성완료 (30.0s ~ 32.0s, 2.0초)
[husky.mp4] ✓ segment_16.mp4 생성완료 (32.0s ~ 34.0s, 2.0초)
[husky.mp4] ✓ segment_17.mp4 생성완료 (34.0s ~ 36.0s, 2.0초)
[husky.mp4] ✓ segment_18.mp4 생성완료 (36.0s ~ 38.0s, 2.0초)
[husky.mp4] ✓ segment_19.mp4 생성완료 (38.0s ~ 40.0s, 2.0초)
[husky.mp4] ✓ segment_20.mp4 생성완료 (40.0s ~ 42.0s, 2.0초)
[husky.mp4] ✓ segment_21.mp4 생성완료 (42.0s ~ 44.0s, 2.0초)
[husky.mp4] ✓ segment_22.mp4 생성완료 (44.0s ~ 46.0s, 2.0초)
[husky.mp4] ✓ segment_23.mp4 생성완료 (46.0s ~ 48.0s, 2.0초)
[husky.mp4] ✓ segment_24.mp4 생성완료 (48.0s ~ 50.0s, 2.0초)
[husky.mp4] ✓ segment_25.mp4 생성완료 (50.0s ~ 52.0s, 2.0초)
[husky.mp4] ✓ segment_26.mp4 생성완료 (52.0s ~ 54.0s, 2.0초)
[husky.mp4] ✓ segment_27.mp4 생성완료 (54.0s ~ 56.0s, 2.0초)
[husky.mp4] ✓ segment_28.mp4 생성완료 (56.0s ~ 58.0s, 2.0초)
[husky.mp4] ✓ segment_29.mp4 생성완료 (58.0s ~ 60.0s, 2.0초)
[husky.mp4] ✓ segment_30.mp4 생성완료 (60.0s ~ 62.0s, 2.0초)
[husky.mp4] ✓ segment_31.mp4 생성완료 (62.0s ~ 64.0s, 2.0초)
[husky.mp4] ✓ segment_32.mp4 생성완료 (64.0s ~ 66.0s, 2.0초)
[husky.mp4] ✓ segment_33.mp4 생성완료 (66.0s ~ 68.0s, 2.0초)
[husky.mp4] ✓ segment_34.mp4 생성완료 (68.0s ~ 70.0s, 2.0초)
[husky.mp4] ✓ segment_35.mp4 생성완료 (70.0s ~ 72.0s, 2.0초)
[husky.mp4] ✓ segment_36.mp4 생성완료 (72.0s ~ 74.0s, 2.0초)
[husky.mp4] ✓ segment_37.mp4 생성완료 (74.0s ~ 76.0s, 2.0초)
[husky.mp4] ✓ segment_38.mp4 생성완료 (76.0s ~ 78.0s, 2.0초)
[husky.mp4] ✓ segment_39.mp4 생성완료 (78.0s ~ 80.0s, 2.0초)
[husky.mp4] ✓ segment_40.mp4 생성완료 (80.0s ~ 82.0s, 2.0초)
[husky.mp4] ✓ segment_41.mp4 생성완료 (82.0s ~ 84.0s, 2.0초)
[husky.mp4] ✓ segment_42.mp4 생성완료 (84.0s ~ 86.0s, 2.0초)
[husky.mp4] ✓ segment_43.mp4 생성완료 (86.0s ~ 88.0s, 2.0초)
[husky.mp4] ✓ segment_44.mp4 생성완료 (88.0s ~ 90.0s, 2.0초)
[husky.mp4] ✓ segment_45.mp4 생성완료 (90.0s ~ 92.0s, 2.0초)
[husky.mp4] ✓ segment_46.mp4 생성완료 (92.0s ~ 94.0s, 2.0초)
[husky.mp4] ✓ segment_47.mp4 생성완료 (94.0s ~ 96.0s, 2.0초)
[husky.mp4] ✓ segment_48.mp4 생성완료 (96.0s ~ 98.0s, 2.0초)
[husky.mp4] ✓ segment_49.mp4 생성완료 (98.0s ~ 100.0s, 2.0초)
[husky.mp4] ✓ segment_50.mp4 생성완료 (100.0s ~ 102.0s, 2.0초)
[husky.mp4] ✓ segment_51.mp4 생성완료 (102.0s ~ 104.0s, 2.0초)
[husky.mp4] ✓ segment_52.mp4 생성완료 (104.0s ~ 106.0s, 2.0초)
[husky.mp4] ✓ segment_53.mp4 생성완료 (106.0s ~ 108.0s, 2.0초)
[husky.mp4] ✓ segment_54.mp4 생성완료 (108.0s ~ 110.0s, 2.0초)
[husky.mp4] ✓ segment_55.mp4 생성완료 (110.0s ~ 112.0s, 2.0초)
[husky.mp4] ✓ segment_56.mp4 생성완료 (112.0s ~ 114.0s, 2.0초)
[husky.mp4] ✓ segment_57.mp4 생성완료 (114.0s ~ 116.0s, 2.0초)
[husky.mp4] ✓ segment_58.mp4 생성완료 (116.0s ~ 118.0s, 2.0초)
[husky.mp4] ✓ segment_59.mp4 생성완료 (118.0s ~ 120.0s, 2.0초)
[husky.mp4] ✓ segment_60.mp4 생성완료 (120.0s ~ 122.0s, 2.0초)
[husky.mp4] ✓ segment_61.mp4 생성완료 (122.0s ~ 124.0s, 2.0초)
[husky.mp4] ✓ segment_62.mp4 생성완료 (124.0s ~ 126.0s, 2.0초)
[husky.mp4] ✓ segment_63.mp4 생성완료 (126.0s ~ 128.0s, 2.0초)
[husky.mp4] ✓ segment_64.mp4 생성완료 (128.0s ~ 130.0s, 2.0초)
[husky.mp4] ✓ segment_65.mp4 생성완료 (130.0s ~ 130.2s, 0.2초)

[husky.mp4] === 분할 완료 ===
[husky.mp4] 성공: 66개 세그먼트

=== [husky] 영상 인코딩 시작 ===
[husky.mp4] 영상 길이: 130.23초
[husky.mp4] 생성할 세그먼트 수: 66개 (마지막 세그먼트: 0.23초)
[husky.mp4] 기존 세그먼트 파일 66개 삭제됨
[husky.mp4] ✓ segment_0.mp4 생성완료 (0.0s ~ 2.0s, 2.0초)
[husky.mp4] ✓ segment_1.mp4 생성완료 (2.0s ~ 4.0s, 2.0초)
[husky.mp4] ✓ segment_2.mp4 생성완료 (4.0s ~ 6.0s, 2.0초)
[husky.mp4] ✓ segment_3.mp4 생성완료 (6.0s ~ 8.0s, 2.0초)
[husky.mp4] ✓ segment_4.mp4 생성완료 (8.0s ~ 10.0s, 2.0초)
[husky.mp4] ✓ segment_5.mp4 생성완료 (10.0s ~ 12.0s, 2.0초)
[husky.mp4] ✓ segment_6.mp4 생성완료 (12.0s ~ 14.0s, 2.0초)
[husky.mp4] ✓ segment_7.mp4 생성완료 (14.0s ~ 16.0s, 2.0초)
[husky.mp4] ✓ segment_8.mp4 생성완료 (16.0s ~ 18.0s, 2.0초)
[husky.mp4] ✓ segment_9.mp4 생성완료 (18.0s ~ 20.0s, 2.0초)
[husky.mp4] ✓ segment_10.mp4 생성완료 (20.0s ~ 22.0s, 2.0초)
[husky.mp4] ✓ segment_11.mp4 생성완료 (22.0s ~ 24.0s, 2.0초)
[husky.mp4] ✓ segment_12.mp4 생성완료 (24.0s ~ 26.0s, 2.0초)
[husky.mp4] ✓ segment_13.mp4 생성완료 (26.0s ~ 28.0s, 2.0초)
[husky.mp4] ✓ segment_14.mp4 생성완료 (28.0s ~ 30.0s, 2.0초)
[husky.mp4] ✓ segment_15.mp4 생성완료 (30.0s ~ 32.0s, 2.0초)
[husky.mp4] ✓ segment_16.mp4 생성완료 (32.0s ~ 34.0s, 2.0초)
[husky.mp4] ✓ segment_17.mp4 생성완료 (34.0s ~ 36.0s, 2.0초)
[husky.mp4] ✓ segment_18.mp4 생성완료 (36.0s ~ 38.0s, 2.0초)
[husky.mp4] ✓ segment_19.mp4 생성완료 (38.0s ~ 40.0s, 2.0초)
[husky.mp4] ✓ segment_20.mp4 생성완료 (40.0s ~ 42.0s, 2.0초)
[husky.mp4] ✓ segment_21.mp4 생성완료 (42.0s ~ 44.0s, 2.0초)
[husky.mp4] ✓ segment_22.mp4 생성완료 (44.0s ~ 46.0s, 2.0초)
[husky.mp4] ✓ segment_23.mp4 생성완료 (46.0s ~ 48.0s, 2.0초)
[husky.mp4] ✓ segment_24.mp4 생성완료 (48.0s ~ 50.0s, 2.0초)
[husky.mp4] ✓ segment_25.mp4 생성완료 (50.0s ~ 52.0s, 2.0초)
[husky.mp4] ✓ segment_26.mp4 생성완료 (52.0s ~ 54.0s, 2.0초)
[husky.mp4] ✓ segment_27.mp4 생성완료 (54.0s ~ 56.0s, 2.0초)
[husky.mp4] ✓ segment_28.mp4 생성완료 (56.0s ~ 58.0s, 2.0초)
[husky.mp4] ✓ segment_29.mp4 생성완료 (58.0s ~ 60.0s, 2.0초)
[husky.mp4] ✓ segment_30.mp4 생성완료 (60.0s ~ 62.0s, 2.0초)
[husky.mp4] ✓ segment_31.mp4 생성완료 (62.0s ~ 64.0s, 2.0초)
[husky.mp4] ✓ segment_32.mp4 생성완료 (64.0s ~ 66.0s, 2.0초)
[husky.mp4] ✓ segment_33.mp4 생성완료 (66.0s ~ 68.0s, 2.0초)
[husky.mp4] ✓ segment_34.mp4 생성완료 (68.0s ~ 70.0s, 2.0초)
[husky.mp4] ✓ segment_35.mp4 생성완료 (70.0s ~ 72.0s, 2.0초)
[husky.mp4] ✓ segment_36.mp4 생성완료 (72.0s ~ 74.0s, 2.0초)
[husky.mp4] ✓ segment_37.mp4 생성완료 (74.0s ~ 76.0s, 2.0초)
[husky.mp4] ✓ segment_38.mp4 생성완료 (76.0s ~ 78.0s, 2.0초)
[husky.mp4] ✓ segment_39.mp4 생성완료 (78.0s ~ 80.0s, 2.0초)
[husky.mp4] ✓ segment_40.mp4 생성완료 (80.0s ~ 82.0s, 2.0초)
[husky.mp4] ✓ segment_41.mp4 생성완료 (82.0s ~ 84.0s, 2.0초)
[husky.mp4] ✓ segment_42.mp4 생성완료 (84.0s ~ 86.0s, 2.0초)
[husky.mp4] ✓ segment_43.mp4 생성완료 (86.0s ~ 88.0s, 2.0초)
[husky.mp4] ✓ segment_44.mp4 생성완료 (88.0s ~ 90.0s, 2.0초)
[husky.mp4] ✓ segment_45.mp4 생성완료 (90.0s ~ 92.0s, 2.0초)
[husky.mp4] ✓ segment_46.mp4 생성완료 (92.0s ~ 94.0s, 2.0초)
[husky.mp4] ✓ segment_47.mp4 생성완료 (94.0s ~ 96.0s, 2.0초)
[husky.mp4] ✓ segment_48.mp4 생성완료 (96.0s ~ 98.0s, 2.0초)
[husky.mp4] ✓ segment_49.mp4 생성완료 (98.0s ~ 100.0s, 2.0초)
[husky.mp4] ✓ segment_50.mp4 생성완료 (100.0s ~ 102.0s, 2.0초)
[husky.mp4] ✓ segment_51.mp4 생성완료 (102.0s ~ 104.0s, 2.0초)
[husky.mp4] ✓ segment_52.mp4 생성완료 (104.0s ~ 106.0s, 2.0초)
[husky.mp4] ✓ segment_53.mp4 생성완료 (106.0s ~ 108.0s, 2.0초)
[husky.mp4] ✓ segment_54.mp4 생성완료 (108.0s ~ 110.0s, 2.0초)
[husky.mp4] ✓ segment_55.mp4 생성완료 (110.0s ~ 112.0s, 2.0초)
[husky.mp4] ✓ segment_56.mp4 생성완료 (112.0s ~ 114.0s, 2.0초)
[husky.mp4] ✓ segment_57.mp4 생성완료 (114.0s ~ 116.0s, 2.0초)
[husky.mp4] ✓ segment_58.mp4 생성완료 (116.0s ~ 118.0s, 2.0초)
[husky.mp4] ✓ segment_59.mp4 생성완료 (118.0s ~ 120.0s, 2.0초)
[husky.mp4] ✓ segment_60.mp4 생성완료 (120.0s ~ 122.0s, 2.0초)
[husky.mp4] ✓ segment_61.mp4 생성완료 (122.0s ~ 124.0s, 2.0초)
[husky.mp4] ✓ segment_62.mp4 생성완료 (124.0s ~ 126.0s, 2.0초)
[husky.mp4] ✓ segment_63.mp4 생성완료 (126.0s ~ 128.0s, 2.0초)
[husky.mp4] ✓ segment_64.mp4 생성완료 (128.0s ~ 130.0s, 2.0초)
[husky.mp4] ✓ segment_65.mp4 생성완료 (130.0s ~ 130.2s, 0.2초)

[husky.mp4] === 분할 완료 ===
[husky.mp4] 성공: 66개 세그먼트

=== [husky] 영상 인코딩 시작 ===
[husky.mp4] 영상 길이: 130.23초
[husky.mp4] 생성할 세그먼트 수: 66개 (마지막 세그먼트: 0.23초)
[husky.mp4] 기존 세그먼트 파일 66개 삭제됨
[husky.mp4] ✓ segment_0.mp4 생성완료 (0.0s ~ 2.0s, 2.0초)
[husky.mp4] ✓ segment_1.mp4 생성완료 (2.0s ~ 4.0s, 2.0초)
[husky.mp4] ✓ segment_2.mp4 생성완료 (4.0s ~ 6.0s, 2.0초)
[husky.mp4] ✓ segment_3.mp4 생성완료 (6.0s ~ 8.0s, 2.0초)
[husky.mp4] ✓ segment_4.mp4 생성완료 (8.0s ~ 10.0s, 2.0초)
[husky.mp4] ✓ segment_5.mp4 생성완료 (10.0s ~ 12.0s, 2.0초)
[husky.mp4] ✓ segment_6.mp4 생성완료 (12.0s ~ 14.0s, 2.0초)
[husky.mp4] ✓ segment_7.mp4 생성완료 (14.0s ~ 16.0s, 2.0초)
[husky.mp4] ✓ segment_8.mp4 생성완료 (16.0s ~ 18.0s, 2.0초)
[husky.mp4] ✓ segment_9.mp4 생성완료 (18.0s ~ 20.0s, 2.0초)
[husky.mp4] ✓ segment_10.mp4 생성완료 (20.0s ~ 22.0s, 2.0초)
[husky.mp4] ✓ segment_11.mp4 생성완료 (22.0s ~ 24.0s, 2.0초)
[husky.mp4] ✓ segment_12.mp4 생성완료 (24.0s ~ 26.0s, 2.0초)
[husky.mp4] ✓ segment_13.mp4 생성완료 (26.0s ~ 28.0s, 2.0초)
[husky.mp4] ✓ segment_14.mp4 생성완료 (28.0s ~ 30.0s, 2.0초)
[husky.mp4] ✓ segment_15.mp4 생성완료 (30.0s ~ 32.0s, 2.0초)
[husky.mp4] ✓ segment_16.mp4 생성완료 (32.0s ~ 34.0s, 2.0초)
[husky.mp4] ✓ segment_17.mp4 생성완료 (34.0s ~ 36.0s, 2.0초)
[husky.mp4] ✓ segment_18.mp4 생성완료 (36.0s ~ 38.0s, 2.0초)
[husky.mp4] ✓ segment_19.mp4 생성완료 (38.0s ~ 40.0s, 2.0초)
[husky.mp4] ✓ segment_20.mp4 생성완료 (40.0s ~ 42.0s, 2.0초)
[husky.mp4] ✓ segment_21.mp4 생성완료 (42.0s ~ 44.0s, 2.0초)
[husky.mp4] ✓ segment_22.mp4 생성완료 (44.0s ~ 46.0s, 2.0초)
[husky.mp4] ✓ segment_23.mp4 생성완료 (46.0s ~ 48.0s, 2.0초)
[husky.mp4] ✓ segment_24.mp4 생성완료 (48.0s ~ 50.0s, 2.0초)
[husky.mp4] ✓ segment_25.mp4 생성완료 (50.0s ~ 52.0s, 2.0초)
[husky.mp4] ✓ segment_26.mp4 생성완료 (52.0s ~ 54.0s, 2.0초)
[husky.mp4] ✓ segment_27.mp4 생성완료 (54.0s ~ 56.0s, 2.0초)
[husky.mp4] ✓ segment_28.mp4 생성완료 (56.0s ~ 58.0s, 2.0초)
[husky.mp4] ✓ segment_29.mp4 생성완료 (58.0s ~ 60.0s, 2.0초)
[husky.mp4] ✓ segment_30.mp4 생성완료 (60.0s ~ 62.0s, 2.0초)
[husky.mp4] ✓ segment_31.mp4 생성완료 (62.0s ~ 64.0s, 2.0초)
[husky.mp4] ✓ segment_32.mp4 생성완료 (64.0s ~ 66.0s, 2.0초)
[husky.mp4] ✓ segment_33.mp4 생성완료 (66.0s ~ 68.0s, 2.0초)
[husky.mp4] ✓ segment_34.mp4 생성완료 (68.0s ~ 70.0s, 2.0초)
[husky.mp4] ✓ segment_35.mp4 생성완료 (70.0s ~ 72.0s, 2.0초)
[husky.mp4] ✓ segment_36.mp4 생성완료 (72.0s ~ 74.0s, 2.0초)
[husky.mp4] ✓ segment_37.mp4 생성완료 (74.0s ~ 76.0s, 2.0초)
[husky.mp4] ✓ segment_38.mp4 생성완료 (76.0s ~ 78.0s, 2.0초)
[husky.mp4] ✓ segment_39.mp4 생성완료 (78.0s ~ 80.0s, 2.0초)
[husky.mp4] ✓ segment_40.mp4 생성완료 (80.0s ~ 82.0s, 2.0초)
[husky.mp4] ✓ segment_41.mp4 생성완료 (82.0s ~ 84.0s, 2.0초)
[husky.mp4] ✓ segment_42.mp4 생성완료 (84.0s ~ 86.0s, 2.0초)
[husky.mp4] ✓ segment_43.mp4 생성완료 (86.0s ~ 88.0s, 2.0초)
[husky.mp4] ✓ segment_44.mp4 생성완료 (88.0s ~ 90.0s, 2.0초)
[husky.mp4] ✓ segment_45.mp4 생성완료 (90.0s ~ 92.0s, 2.0초)
[husky.mp4] ✓ segment_46.mp4 생성완료 (92.0s ~ 94.0s, 2.0초)
[husky.mp4] ✓ segment_47.mp4 생성완료 (94.0s ~ 96.0s, 2.0초)
[husky.mp4] ✓ segment_48.mp4 생성완료 (96.0s ~ 98.0s, 2.0초)
[husky.mp4] ✓ segment_49.mp4 생성완료 (98.0s ~ 100.0s, 2.0초)
[husky.mp4] ✓ segment_50.mp4 생성완료 (100.0s ~ 102.0s, 2.0초)
[husky.mp4] ✓ segment_51.mp4 생성완료 (102.0s ~ 104.0s, 2.0초)
[husky.mp4] ✓ segment_52.mp4 생성완료 (104.0s ~ 106.0s, 2.0초)
[husky.mp4] ✓ segment_53.mp4 생성완료 (106.0s ~ 108.0s, 2.0초)
[husky.mp4] ✓ segment_54.mp4 생성완료 (108.0s ~ 110.0s, 2.0초)
[husky.mp4] ✓ segment_55.mp4 생성완료 (110.0s ~ 112.0s, 2.0초)
[husky.mp4] ✓ segment_56.mp4 생성완료 (112.0s ~ 114.0s, 2.0초)
[husky.mp4] ✓ segment_57.mp4 생성완료 (114.0s ~ 116.0s, 2.0초)
[husky.mp4] ✓ segment_58.mp4 생성완료 (116.0s ~ 118.0s, 2.0초)
[husky.mp4] ✓ segment_59.mp4 생성완료 (118.0s ~ 120.0s, 2.0초)
[husky.mp4] ✓ segment_60.mp4 생성완료 (120.0s ~ 122.0s, 2.0초)
[husky.mp4] ✓ segment_61.mp4 생성완료 (122.0s ~ 124.0s, 2.0초)
[husky.mp4] ✓ segment_62.mp4 생성완료 (124.0s ~ 126.0s, 2.0초)
[husky.mp4] ✓ segment_63.mp4 생성완료 (126.0s ~ 128.0s, 2.0초)
[husky.mp4] ✓ segment_64.mp4 생성완료 (128.0s ~ 130.0s, 2.0초)
[husky.mp4] ✓ segment_65.mp4 생성완료 (130.0s ~ 130.2s, 0.2초)

[husky.mp4] === 분할 완료 ===
[husky.mp4] 성공: 66개 세그먼트

=== [husky] 영상 인코딩 시작 ===
[husky.mp4] 영상 길이: 130.23초
[husky.mp4] 생성할 세그먼트 수: 66개 (마지막 세그먼트: 0.23초)
[husky.mp4] 기존 세그먼트 파일 66개 삭제됨
[husky.mp4] ✓ segment_0.mp4 생성완료 (0.0s ~ 2.0s, 2.0초)
[husky.mp4] ✓ segment_1.mp4 생성완료 (2.0s ~ 4.0s, 2.0초)
[husky.mp4] ✓ segment_2.mp4 생성완료 (4.0s ~ 6.0s, 2.0초)
[husky.mp4] ✓ segment_3.mp4 생성완료 (6.0s ~ 8.0s, 2.0초)
[husky.mp4] ✓ segment_4.mp4 생성완료 (8.0s ~ 10.0s, 2.0초)
[husky.mp4] ✓ segment_5.mp4 생성완료 (10.0s ~ 12.0s, 2.0초)
[husky.mp4] ✓ segment_6.mp4 생성완료 (12.0s ~ 14.0s, 2.0초)
[husky.mp4] ✓ segment_7.mp4 생성완료 (14.0s ~ 16.0s, 2.0초)
[husky.mp4] ✓ segment_8.mp4 생성완료 (16.0s ~ 18.0s, 2.0초)
[husky.mp4] ✓ segment_9.mp4 생성완료 (18.0s ~ 20.0s, 2.0초)
[husky.mp4] ✓ segment_10.mp4 생성완료 (20.0s ~ 22.0s, 2.0초)
[husky.mp4] ✓ segment_11.mp4 생성완료 (22.0s ~ 24.0s, 2.0초)
[husky.mp4] ✓ segment_12.mp4 생성완료 (24.0s ~ 26.0s, 2.0초)
[husky.mp4] ✓ segment_13.mp4 생성완료 (26.0s ~ 28.0s, 2.0초)
[husky.mp4] ✓ segment_14.mp4 생성완료 (28.0s ~ 30.0s, 2.0초)
[husky.mp4] ✓ segment_15.mp4 생성완료 (30.0s ~ 32.0s, 2.0초)
[husky.mp4] ✓ segment_16.mp4 생성완료 (32.0s ~ 34.0s, 2.0초)
[husky.mp4] ✓ segment_17.mp4 생성완료 (34.0s ~ 36.0s, 2.0초)
[husky.mp4] ✓ segment_18.mp4 생성완료 (36.0s ~ 38.0s, 2.0초)
[husky.mp4] ✓ segment_19.mp4 생성완료 (38.0s ~ 40.0s, 2.0초)
[husky.mp4] ✓ segment_20.mp4 생성완료 (40.0s ~ 42.0s, 2.0초)
[husky.mp4] ✓ segment_21.mp4 생성완료 (42.0s ~ 44.0s, 2.0초)
[husky.mp4] ✓ segment_22.mp4 생성완료 (44.0s ~ 46.0s, 2.0초)
[husky.mp4] ✓ segment_23.mp4 생성완료 (46.0s ~ 48.0s, 2.0초)
[husky.mp4] ✓ segment_24.mp4 생성완료 (48.0s ~ 50.0s, 2.0초)
[husky.mp4] ✓ segment_25.mp4 생성완료 (50.0s ~ 52.0s, 2.0초)
[husky.mp4] ✓ segment_26.mp4 생성완료 (52.0s ~ 54.0s, 2.0초)
[husky.mp4] ✓ segment_27.mp4 생성완료 (54.0s ~ 56.0s, 2.0초)
[husky.mp4] ✓ segment_28.mp4 생성완료 (56.0s ~ 58.0s, 2.0초)
[husky.mp4] ✓ segment_29.mp4 생성완료 (58.0s ~ 60.0s, 2.0초)
[husky.mp4] ✓ segment_30.mp4 생성완료 (60.0s ~ 62.0s, 2.0초)
[husky.mp4] ✓ segment_31.mp4 생성완료 (62.0s ~ 64.0s, 2.0초)
[husky.mp4] ✓ segment_32.mp4 생성완료 (64.0s ~ 66.0s, 2.0초)
[husky.mp4] ✓ segment_33.mp4 생성완료 (66.0s ~ 68.0s, 2.0초)
[husky.mp4] ✓ segment_34.mp4 생성완료 (68.0s ~ 70.0s, 2.0초)
[husky.mp4] ✓ segment_35.mp4 생성완료 (70.0s ~ 72.0s, 2.0초)
[husky.mp4] ✓ segment_36.mp4 생성완료 (72.0s ~ 74.0s, 2.0초)
[husky.mp4] ✓ segment_37.mp4 생성완료 (74.0s ~ 76.0s, 2.0초)
[husky.mp4] ✓ segment_38.mp4 생성완료 (76.0s ~ 78.0s, 2.0초)
[husky.mp4] ✓ segment_39.mp4 생성완료 (78.0s ~ 80.0s, 2.0초)
[husky.mp4] ✓ segment_40.mp4 생성완료 (80.0s ~ 82.0s, 2.0초)
[husky.mp4] ✓ segment_41.mp4 생성완료 (82.0s ~ 84.0s, 2.0초)
[husky.mp4] ✓ segment_42.mp4 생성완료 (84.0s ~ 86.0s, 2.0초)
[husky.mp4] ✓ segment_43.mp4 생성완료 (86.0s ~ 88.0s, 2.0초)
[husky.mp4] ✓ segment_44.mp4 생성완료 (88.0s ~ 90.0s, 2.0초)
[husky.mp4] ✓ segment_45.mp4 생성완료 (90.0s ~ 92.0s, 2.0초)
[husky.mp4] ✓ segment_46.mp4 생성완료 (92.0s ~ 94.0s, 2.0초)
[husky.mp4] ✓ segment_47.mp4 생성완료 (94.0s ~ 96.0s, 2.0초)
[husky.mp4] ✓ segment_48.mp4 생성완료 (96.0s ~ 98.0s, 2.0초)
[husky.mp4] ✓ segment_49.mp4 생성완료 (98.0s ~ 100.0s, 2.0초)
[husky.mp4] ✓ segment_50.mp4 생성완료 (100.0s ~ 102.0s, 2.0초)
[husky.mp4] ✓ segment_51.mp4 생성완료 (102.0s ~ 104.0s, 2.0초)
[husky.mp4] ✓ segment_52.mp4 생성완료 (104.0s ~ 106.0s, 2.0초)
[husky.mp4] ✓ segment_53.mp4 생성완료 (106.0s ~ 108.0s, 2.0초)
[husky.mp4] ✓ segment_54.mp4 생성완료 (108.0s ~ 110.0s, 2.0초)
